SKU,Image URL,Category,Product URL,Image Scaled,,
CHCEXT009,https://vansauto.com/wp-content/uploads/2014/11/All-Antennas.jpg,antenna-related,https://vansauto.com/product/antenna-69-71-chrysler-c-body/,FALSE,,
CHCEXT010,https://vansauto.com/wp-content/uploads/2014/11/All-Antennas.jpg,antenna-related,https://vansauto.com/product/antenna-69-71-dodge-c-body/,FALSE,,
CAHCBZC001,https://vansauto.com/wp-content/uploads/2024/05/20240526_094241-480x640.jpg,antenna-related,https://vansauto.com/product/69-71-chrysler-c-body-newport-new-yorker-300-antenna-bezel-chcabz001/,FALSE,,
CAHCBZC001,https://vansauto.com/wp-content/uploads/2024/05/20240526_094241-scaled.jpg,antenna-related,https://vansauto.com/product/69-71-chrysler-c-body-newport-new-yorker-300-antenna-bezel-chcabz001/,TRUE,,
CHCABZ002,https://vansauto.com/wp-content/uploads/2024/05/20240526_094241-480x640.jpg,antenna-related,https://vansauto.com/product/69-71-dodge-c-body-monaco-polara-antenna-bezel-chcabz002/,FALSE,,
CHCABZ002,https://vansauto.com/wp-content/uploads/2024/05/20240526_094241-scaled.jpg,antenna-related,https://vansauto.com/product/69-71-dodge-c-body-monaco-polara-antenna-bezel-chcabz002/,TRUE,,
CHCEXT011,https://vansauto.com/wp-content/uploads/2014/11/All-Antennas.jpg,antenna-related,https://vansauto.com/product/antenna-69-71-plymouth-c-body/,FALSE,,
CHCABZ003,https://vansauto.com/wp-content/uploads/2024/05/20240526_094241-480x640.jpg,antenna-related,https://vansauto.com/product/69-71-plymouth-fury-antenna-bezel-chcabz003/,FALSE,,
CHCABZ003,https://vansauto.com/wp-content/uploads/2024/05/20240526_094241-scaled.jpg,antenna-related,https://vansauto.com/product/69-71-plymouth-fury-antenna-bezel-chcabz003/,TRUE,,
CHBEXT003,https://vansauto.com/wp-content/uploads/2014/11/All-Antennas.jpg,antenna-related,https://vansauto.com/product/70-74-cuda-antenna/,FALSE,,
CHZTRM704,https://vansauto.com/wp-content/uploads/2018/04/DSCN6950.jpg,antenna-related,https://vansauto.com/product/1970-1974-barracuda-cuda-antenna-bezel/,FALSE,,
CHEBZL701,https://vansauto.com/wp-content/uploads/2019/05/IMG_5915-480x360.jpg,antenna-related,https://vansauto.com/product/70-71-72-73-74-challenger-antenna-bezel-trim-ring-1970-19711972-1973-1974/,FALSE,,
CHEBZL701,https://vansauto.com/wp-content/uploads/2019/05/IMG_5915-scaled.jpg,antenna-related,https://vansauto.com/product/70-71-72-73-74-challenger-antenna-bezel-trim-ring-1970-19711972-1973-1974/,TRUE,,
CHBEXT004,https://vansauto.com/wp-content/uploads/2014/11/All-Antennas.jpg,antenna-related,https://vansauto.com/product/70-74-challenger-antenna/,FALSE,,
CHBEXT006,https://vansauto.com/wp-content/uploads/2014/11/All-Antennas.jpg,antenna-related,https://vansauto.com/product/71-74-charger-antenna/,FALSE,,
CHBANT104,https://vansauto.com/wp-content/uploads/2018/04/DSCN6948.jpg,antenna-related,https://vansauto.com/product/1971-1974-b-body-antenna-bezel-except-charger/,FALSE,,
CHBANT106,https://vansauto.com/wp-content/uploads/2018/04/DSCN6949.jpg,antenna-related,https://vansauto.com/product/1971-1974-charger-antenna-bezel/,FALSE,,
CHBEXT008,https://vansauto.com/wp-content/uploads/2014/11/All-Antennas.jpg,antenna-related,https://vansauto.com/product/antenna-71-74-plymouth-b-body/,FALSE,,
CHTANT739,https://vansauto.com/wp-content/uploads/2020/05/IMG_6725-480x132.jpg,antenna-related,https://vansauto.com/product/73-74-75-76-77-78-79-dodge-truck-d-w-series-and-ramcharger-antenna-assembly-chtant739/,FALSE,,
CHTANT739,https://vansauto.com/wp-content/uploads/2020/05/IMG_6725-scaled.jpg,antenna-related,https://vansauto.com/product/73-74-75-76-77-78-79-dodge-truck-d-w-series-and-ramcharger-antenna-assembly-chtant739/,TRUE,,
3400048,https://vansauto.com/wp-content/uploads/2024/09/2383222907-480x640.jpg,steering-and-suspension,https://vansauto.com/product/3400024-34-1970-1971-e-body-440-6bbl-hemi-lower-leaf-springs-2/,FALSE,,
3400048,https://vansauto.com/wp-content/uploads/2024/09/2383222907.jpg,steering-and-suspension,https://vansauto.com/product/3400024-34-1970-1971-e-body-440-6bbl-hemi-lower-leaf-springs-2/,FALSE,,
CHZPAD071,https://vansauto.com/wp-content/uploads/2016/04/2016-04-12-03.38.32.jpg,steering-and-suspension,https://vansauto.com/product/rim-blow-steering-wheel-horn-center-pad-71-b-body-e-body/,FALSE,,
